PlanID,Phase,MilestoneID,TargetWeek,Workstream,Task,Owner,Deliverable,PrimaryKPI,SuccessGate,Dependencies,Status,Priority,Notes
LNKD-VID-001,Setup,M0,Week 0,Foundation,"Define KPI baseline from current LinkedIn and site analytics",Founder+Editor,"Baseline KPI snapshot",Baseline captured,"Baseline approved and shared",Analytics access,Planned,P0,"Use last 30 days as baseline window"
LNKD-VID-002,Setup,M0,Week 0,Foundation,"Create template package (intro slate, lower third, CTA card)",Editor,"Reusable video template pack",Production cycle time,"Template pack used in first 2 clips",Brand assets; editor bandwidth,Planned,P0,"Include 4:5 and 1:1 variants"
LNKD-VID-003,Setup,M0,Week 0,Tracking,"Prepare UTM naming convention for all LinkedIn posts",Founder,"UTM schema + link sheet",Attribution coverage,"100% of posts use valid UTMs",Analytics access,Planned,P0,"Prefix: lnkd_video_wkXX"
LNKD-VID-004,Setup,M0,Week 0,Governance,"Define advanced-agent capability taxonomy for overlays",Founder+Reviewer,"Capability overlay taxonomy",Message consistency,"Taxonomy applied in all scripts",Product reviewer availability,Planned,P0,"Planner, Retriever, Reviewer, Escalator"
LNKD-VID-005,Launch,M1,Week 1,Positioning,"Post V1: Most AI tools are black boxes",Founder,"Video V1 published",View completion rate,"Narrative clarity in comments/DMs",Template pack; approved script,Planned,P1,"Duration target 60-90s"
LNKD-VID-006,Launch,M1,Week 1,Positioning,"Post V2: What makes CapeControl advanced",Founder,"Video V2 published",Demo intent signals,"Objection themes logged",V1 insights; approved script,Planned,P1,"Capability + governance summary"
LNKD-VID-007,Proof,M2,Week 2,Workflow Demo,"Post V3: Advanced-agent workflow walkthrough",Founder+Reviewer,"Video V3 published",Evidence confidence,"Source trail visible on-screen",Stable staging flow; reviewer sign-off,Planned,P0,"Show input source to result"
LNKD-VID-008,Proof,M2,Week 2,Proof Clip,"Post V4: Evidence citation clip",Founder+Editor,"Video V4 published",Completion rate,"Claim-to-evidence mapping is explicit",Captured proof artifacts,Planned,P0,"Duration target 45-75s"
LNKD-VID-009,Control,M3,Week 3,Human Oversight,"Post V5: Human checkpoint and escalation walkthrough",Founder+Reviewer,"Video V5 published",Risk-objection reduction,"Human-in-control message explicit",Policy flow ready; reviewer sign-off,Planned,P0,"Highlight checkpoint gate"
LNKD-VID-010,Control,M3,Week 3,Policy Boundaries,"Post V6: Agent boundaries and policy controls",Founder+Reviewer,"Video V6 published",Comment quality,"No autonomy over-claim in copy",Compliance review,Planned,P0,"Show controls and limits"
LNKD-VID-011,Resonance,M4,Week 4,Verticalization,"Create 2 sector-tailored edits (legal + property/ops)",Founder+Editor,"2 vertical edits published",Role-specific engagement,"Engagement beats Week 1 baseline",Reusable assets; prior clips,Planned,P1,"Adjust hooks per role"
LNKD-VID-012,Objections,M5,Week 5,FAQ,"Compile objections into FAQ clip",Founder,"FAQ video published",Comment quality,"Top objections addressed clearly",DM/comment logs,Planned,P1,"Use real objection language"
LNKD-VID-013,Objections,M5,Week 5,Case Delta,"Post before/after workflow story with capability delta (anonymized)",Founder+Editor,"Case delta clip published",Conversion intent,"Capability delta is understandable",Anonymized case material,Planned,P1,"Avoid customer-identifiable data"
LNKD-VID-014,Conversion,M6,Week 6,Rerun,"Republish best-performing format with stronger CTA",Founder,"Best-format rerun published",CTR to demo page,"CTA performance exceeds prior baseline",Performance data through Week 5,Planned,P0,"Use CTA A/B winner"
LNKD-VID-015,Conversion,M6,Week 6,Onboarding,"Publish onboarding invitation clip for testing cohort",Founder+Ops,"Onboarding invite clip published",Onboarding starts,"Week-over-week onboarding growth",Cohort list; onboarding flow ready,Planned,P0,"Track with dedicated UTM"
LNKD-VID-016,Always-On,ALL,Weekly,Distribution,"Repost from company page with alternate caption angle",Founder+Ops,"Amplified reposts",Reach multiplier,"Repost occurs within 24h of primary post",Primary post published,Planned,P2,"Use different hook/caption"
LNKD-VID-017,Always-On,ALL,Weekly,Engagement,"Comment strategy in first 60 minutes",Founder,"Pinned proof-point comment + replies",Quality comment rate,"All high-intent comments receive response",Monitoring cadence,Planned,P1,"Use proof-first response template"
LNKD-VID-018,Always-On,ALL,Weekly,Follow-up,"DM follow-up for high-intent commenters",Founder+Ops,"DM follow-up log",Demo requests,"Response within 24h of signal",Comment/DM triage process,Planned,P1,"Tag by persona and intent"
LNKD-VID-019,Always-On,ALL,Weekly,Repurposing,"Embed top 3 videos on /how-it-works",Founder+Web,"Top clips embedded",Page engagement,"Embeds live and tested",Clip assets; web updates,Planned,P2,"Refresh monthly"
LNKD-VID-020,Always-On,ALL,Weekly,Repurposing,"Add one capability clip to /developers",Founder+Web,"Developer page clip embedded",Developer CTR,"Clip maps to developer intent",Clip selection complete,Planned,P2,"Prioritize reviewer/escalator demo"
LNKD-VID-021,Governance,ALL,Weekly,Quality,"Run pre-publish claims check",Reviewer,"Signed claims checklist",Claim accuracy,"No unsupported claims published",Reviewer availability,Planned,P0,"Mandatory before scheduling"
LNKD-VID-022,Governance,ALL,Weekly,Quality,"Ensure one visible evidence trail element per clip",Editor+Reviewer,"Evidence trail overlay present",Trust signal strength,"Each clip shows proof artifact",Overlay taxonomy,Planned,P0,"Source citation or action log"
LNKD-VID-023,Measurement,ALL,Weekly,Reporting,"Update one-page KPI scorecard",Founder+Ops,"Weekly scorecard update",Decision speed,"Scorecard complete by Friday",UTM and analytics data,Planned,P0,"Review in Friday retro"
LNKD-VID-024,Experiment,ALL,Weekly,Testing,"Run one weekly experiment from backlog",Founder,"Experiment result logged",Learning velocity,"One validated learning per week",Content publishing cadence,Planned,P1,"Track winner and next action"
